Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
27/12/2020,West Ham,Brighton,2,2,D,2.3,3.4,3.1
27/12/2020,Liverpool,West Brom,1,1,D,1.11,10.0,19.0
27/12/2020,Wolves,Tottenham,1,1,D,3.6,3.25,2.15
28/12/2020,Crystal Palace,Leicester,1,1,D,3.75,3.5,2.0
28/12/2020,Chelsea,Aston Villa,1,1,D,1.61,4.2,5.0
29/12/2020,Brighton,Arsenal,0,1,A,3.25,3.5,2.2
29/12/2020,Burnley,Sheffield United,1,0,H,2.37,3.1,3.25
29/12/2020,Southampton,West Ham,0,0,D,2.1,3.6,3.4
29/12/2020,West Brom,Leeds,0,5,A,3.6,3.6,2.0
29/12/2020,Man United,Wolves,1,0,H,1.53,4.2,6.25
30/12/2020,Newcastle,Liverpool,0,0,D,12.0,6.0,1.25
01/01/2021,Everton,West Ham,0,1,A,2.1,3.5,3.5
01/01/2021,Man United,Aston Villa,2,1,H,1.72,4.2,4.2
02/01/2021,Tottenham,Leeds,3,0,H,1.75,4.1,4.2
02/01/2021,Crystal Palace,Sheffield United,2,0,H,1.95,3.5,3.9
02/01/2021,Brighton,Wolves,3,3,D,2.62,3.25,2.75
02/01/2021,West Brom,Arsenal,0,4,A,5.75,4.0,1.57
03/01/2021,Newcastle,Leicester,1,2,A,5.25,4.2,1.61
03/01/2021,Chelsea,Man City,1,3,A,3.0,3.7,2.2
04/01/2021,Southampton,Liverpool,1,0,H,5.0,4.33,1.61
12/01/2021,Sheffield United,Newcastle,1,0,H,2.45,3.1,3.1
12/01/2021,Burnley,Man United,0,1,A,7.0,4.5,1.45
12/01/2021,Wolves,Everton,1,2,A,2.45,3.1,3.1
13/01/2021,Man City,Brighton,1,0,H,1.14,8.5,16.0
13/01/2021,Tottenham,Fulham,1,1,D,1.36,5.0,8.5
14/01/2021,Arsenal,Crystal Palace,0,0,D,1.53,4.0,6.5
16/01/2021,Wolves,West Brom,2,3,A,1.6,3.5,7.0
16/01/2021,Leeds,Brighton,0,1,A,2.1,3.5,3.4
16/01/2021,West Ham,Burnley,1,0,H,1.8,3.5,4.75
16/01/2021,Fulham,Chelsea,0,1,A,6.5,4.33,1.5
16/01/2021,Leicester,Southampton,2,0,H,1.8,3.75,4.5
17/01/2021,Sheffield United,Tottenham,1,3,A,6.25,3.75,1.6
17/01/2021,Liverpool,Man United,0,0,D,1.95,3.8,3.6
17/01/2021,Man City,Crystal Palace,4,0,H,1.14,8.5,17.0
18/01/2021,Arsenal,Newcastle,3,0,H,1.4,4.5,8.0
19/01/2021,West Ham,West Brom,2,1,H,1.57,4.2,5.5
19/01/2021,Leicester,Chelsea,2,0,H,2.87,3.4,2.45
20/01/2021,Man City,Aston Villa,2,0,H,1.22,6.5,12.0
20/01/2021,Fulham,Man United,1,2,A,6.0,4.33,1.53
21/01/2021,Liverpool,Burnley,0,1,A,1.18,7.5,15.0
23/01/2021,Aston Villa,Newcastle,2,0,H,1.45,4.75,6.5
26/01/2021,Crystal Palace,West Ham,2,3,A,3.1,3.25,2.37
26/01/2021,Newcastle,Leeds,1,2,A,3.9,3.8,1.85
26/01/2021,Southampton,Arsenal,1,3,A,3.5,3.6,2.05
26/01/2021,West Brom,Man City,0,5,A,15.0,7.5,1.18
27/01/2021,Burnley,Aston Villa,3,2,H,3.8,3.5,1.95
27/01/2021,Chelsea,Wolves,0,0,D,1.6,4.2,5.25
27/01/2021,Brighton,Fulham,0,0,D,2.05,3.4,3.75
27/01/2021,Everton,Leicester,1,1,D,2.8,3.3,2.55
27/01/2021,Man United,Sheffield United,1,2,A,1.25,6.0,11.0
28/01/2021,Tottenham,Liverpool,1,3,A,3.2,3.6,2.2
30/01/2021,Everton,Newcastle,0,2,A,1.55,4.0,6.5
30/01/2021,Crystal Palace,Wolves,1,0,H,2.87,3.2,2.55
30/01/2021,Man City,Sheffield United,1,0,H,1.12,9.0,18.0
30/01/2021,West Brom,Fulham,2,2,D,3.3,3.2,2.3
30/01/2021,Arsenal,Man United,0,0,D,2.8,3.5,2.45
30/01/2021,Southampton,Aston Villa,0,1,A,2.8,3.6,2.37
31/01/2021,Chelsea,Burnley,2,0,H,1.33,5.0,9.5
31/01/2021,Leicester,Leeds,1,3,A,1.8,4.0,4.2
31/01/2021,West Ham,Liverpool,1,3,A,4.33,4.0,1.75
31/01/2021,Brighton,Tottenham,1,0,H,3.2,3.4,2.25
02/02/2021,Sheffield United,West Brom,2,1,H,2.0,3.3,4.0
02/02/2021,Wolves,Arsenal,2,1,H,3.6,3.3,2.1
02/02/2021,Man United,Southampton,9,0,H,1.4,4.75,7.0
02/02/2021,Newcastle,Crystal Palace,1,2,A,2.8,3.2,2.6
03/02/2021,Burnley,Man City,0,2,A,13.0,7.0,1.2
03/02/2021,Fulham,Leicester,0,2,A,4.0,3.5,1.9
03/02/2021,Leeds,Everton,1,2,A,2.5,3.5,2.7
03/02/2021,Aston Villa,West Ham,1,3,A,2.2,3.4,3.25
03/02/2021,Liverpool,Brighton,0,1,A,1.33,5.25,9.0
04/02/2021,Tottenham,Chelsea,0,1,A,3.5,3.4,2.1
06/02/2021,Aston Villa,Arsenal,1,0,H,2.62,3.5,2.6
06/02/2021,Burnley,Brighton,1,1,D,3.6,3.1,2.2
06/02/2021,Newcastle,Southampton,3,2,H,3.0,3.3,2.4
06/02/2021,Fulham,West Ham,0,0,D,3.6,3.5,2.05
06/02/2021,Man United,Everton,3,3,D,1.53,4.2,6.0
07/02/2021,Tottenham,West Brom,2,0,H,1.45,4.5,7.0
07/02/2021,Wolves,Leicester,0,0,D,3.5,3.4,2.1
07/02/2021,Liverpool,Man City,1,4,A,3.4,3.6,2.05
07/02/2021,Sheffield United,Chelsea,1,2,A,7.0,4.5,1.45
08/02/2021,Leeds,Crystal Palace,2,0,H,1.8,3.8,4.2
13/02/2021,Leicester,Liverpool,3,1,H,3.5,3.4,2.1
13/02/2021,Crystal Palace,Burnley,0,3,A,2.37,3.1,3.2
13/02/2021,Man City,Tottenham,3,0,H,1.28,5.75,9.5
13/02/2021,Brighton,Aston Villa,0,0,D,2.7,3.5,2.5
14/02/2021,Southampton,Wolves,1,2,A,2.37,3.2,3.1
14/02/2021,West Brom,Man United,1,1,D,10.0,5.5,1.3
14/02/2021,Arsenal,Leeds,4,2,H,1.83,3.8,4.0
14/02/2021,Everton,Fulham,0,2,A,1.85,3.6,4.2
15/02/2021,West Ham,Sheffield United,3,0,H,1.66,3.75,5.25
15/02/2021,Chelsea,Newcastle,2,0,H,1.22,6.5,12.0
17/02/2021,Burnley,Fulham,1,1,D,2.75,3.2,2.7
17/02/2021,Everton,Man City,1,3,A,8.5,5.5,1.33
19/02/2021,Wolves,Leeds,1,0,H,2.37,3.3,3.0
20/02/2021,Southampton,Chelsea,1,1,D,5.0,3.8,1.7
20/02/2021,Burnley,West Brom,0,0,D,2.0,3.3,4.0
20/02/2021,Liverpool,Everton,0,2,A,1.44,4.5,7.0
20/02/2021,Fulham,Sheffield United,1,0,H,2.15,3.2,3.6
21/02/2021,West Ham,Tottenham,2,1,H,2.62,3.4,2.7
21/02/2021,Aston Villa,Leicester,1,2,A,2.87,3.5,2.4
21/02/2021,Arsenal,Man City,0,1,A,6.5,4.33,1.5
21/02/2021,Man United,Newcastle,3,1,H,1.28,5.5,10.0
22/02/2021,Brighton,Crystal Palace,1,2,A,1.7,3.5,5.5
23/02/2021,Leeds,Southampton,3,0,H,2.25,3.5,3.1
27/02/2021,Man City,West Ham,2,1,H,1.22,6.5,12.0
27/02/2021,West Brom,Brighton,1,0,H,4.2,3.3,1.95
27/02/2021,Leeds,Aston Villa,0,1,A,2.15,3.6,3.2
27/02/2021,Newcastle,Wolves,1,1,D,3.5,3.2,2.2
28/02/2021,Crystal Palace,Fulham,0,0,D,3.5,3.2,2.2
28/02/2021,Leicester,Arsenal,1,3,A,2.5,3.4,2.8
28/02/2021,Tottenham,Burnley,4,0,H,1.53,4.0,6.5
28/02/2021,Chelsea,Man United,0,0,D,2.15,3.4,3.4
28/02/2021,Sheffield United,Liverpool,0,2,A,8.0,5.0,1.36
01/03/2021,Everton,Southampton,1,0,H,2.15,3.5,3.3
02/03/2021,Man City,Wolves,4,1,H,1.18,7.0,15.0
03/03/2021,Burnley,Leicester,1,1,D,4.0,3.25,2.0
03/03/2021,Sheffield United,Aston Villa,1,0,H,3.75,3.4,2.05
03/03/2021,Crystal Palace,Man United,0,0,D,8.0,4.75,1.4
04/03/2021,Fulham,Tottenham,0,1,A,4.0,3.6,1.9
04/03/2021,West Brom,Everton,0,1,A,4.33,3.6,1.83
04/03/2021,Liverpool,Chelsea,0,1,A,2.25,3.6,3.0
06/03/2021,Burnley,Arsenal,1,1,D,5.5,4.0,1.61
06/03/2021,Sheffield United,Southampton,0,2,A,3.6,3.5,2.0
06/03/2021,Aston Villa,Wolves,0,0,D,2.37,3.25,3.1
06/03/2021,Brighton,Leicester,1,2,A,2.55,3.25,2.8
07/03/2021,West Brom,Newcastle,0,0,D,2.37,3.2,3.1
07/03/2021,Liverpool,Fulham,0,1,A,1.36,5.0,8.5
07/03/2021,Man City,Man United,0,2,A,1.45,4.5,7.0
07/03/2021,Tottenham,Crystal Palace,4,1,H,1.45,4.5,7.0
08/03/2021,Chelsea,Everton,2,0,H,1.53,4.0,6.5
08/03/2021,West Ham,Leeds,2,0,H,2.05,3.6,3.5
10/03/2021,Man City,Southampton,5,2,H,1.18,7.5,15.0
12/03/2021,Newcastle,Aston Villa,1,1,D,3.8,3.3,2.05
13/03/2021,Leeds,Chelsea,0,0,D,4.75,4.0,1.7
13/03/2021,Crystal Palace,West Brom,1,0,H,2.15,3.2,3.6
13/03/2021,Everton,Burnley,1,2,A,1.83,3.5,4.5
13/03/2021,Fulham,Man City,0,3,A,10.0,5.0,1.33
14/03/2021,Southampton,Brighton,1,2,A,2.9,3.1,2.5
14/03/2021,Leicester,Sheffield United,5,0,H,1.5,4.2,6.5
14/03/2021,Arsenal,Tottenham,2,1,H,2.55,3.4,2.75
14/03/2021,Man United,West Ham,1,0,H,1.83,3.6,4.33
15/03/2021,Wolves,Liverpool,0,1,A,4.75,3.75,1.72
19/03/2021,Fulham,Leeds,1,2,A,2.37,3.4,3.0
20/03/2021,Brighton,Newcastle,3,0,H,1.66,3.5,6.0
21/03/2021,West Ham,Arsenal,3,3,D,2.8,3.5,2.45
21/03/2021,Aston Villa,Tottenham,0,2,A,2.9,3.3,2.45
03/04/2021,Chelsea,West Brom,2,5,A,1.22,6.0,15.0
03/04/2021,Leeds,Sheffield United,2,1,H,1.5,4.33,6.5
03/04/2021,Leicester,Man City,0,2,A,6.0,4.2,1.53
03/04/2021,Arsenal,Liverpool,0,3,A,3.1,3.7,2.15
04/04/2021,Southampton,Burnley,3,2,H,2.05,3.3,3.8
04/04/2021,Newcastle,Tottenham,2,2,D,5.5,4.0,1.6
04/04/2021,Aston Villa,Fulham,3,1,H,2.25,3.3,3.3
04/04/2021,Man United,Brighton,2,1,H,1.61,4.0,5.5
05/04/2021,Everton,Crystal Palace,1,1,D,1.75,3.5,5.0
05/04/2021,Wolves,West Ham,2,3,A,2.87,3.2,2.55
09/04/2021,Fulham,Wolves,0,1,A,2.5,3.0,3.1
10/04/2021,Man City,Leeds,1,2,A,1.28,5.75,10.0
10/04/2021,Liverpool,Aston Villa,2,1,H,1.5,4.33,6.5
10/04/2021,Crystal Palace,Chelsea,1,4,A,7.0,3.8,1.53
11/04/2021,Burnley,Newcastle,1,2,A,2.3,3.1,3.4
11/04/2021,West Ham,Leicester,3,2,H,3.0,3.3,2.37
11/04/2021,Tottenham,Man United,1,3,A,2.87,3.4,2.45
11/04/2021,Sheffield United,Arsenal,0,3,A,6.5,3.75,1.57
12/04/2021,West Brom,Southampton,3,0,H,3.6,3.3,2.1
12/04/2021,Brighton,Everton,0,0,D,2.25,3.3,3.3
16/04/2021,Everton,Tottenham,2,2,D,3.4,3.5,2.1
17/04/2021,Newcastle,West Ham,3,2,H,3.5,3.5,2.05
17/04/2021,Wolves,Sheffield United,1,0,H,1.66,3.5,5.75
18/04/2021,Arsenal,Fulham,1,1,D,1.7,3.8,4.8
18/04/2021,Man United,Burnley,3,1,H,1.33,5.25,9.0
19/04/2021,Leeds,Liverpool,1,1,D,4.5,4.33,1.66
20/04/2021,Chelsea,Brighton,0,0,D,1.57,4.0,6.0
21/04/2021,Tottenham,Southampton,2,1,H,1.75,3.8,4.5
21/04/2021,Aston Villa,Man City,1,2,A,9.0,4.75,1.36
22/04/2021,Leicester,West Brom,3,0,H,1.53,3.8,6.0
23/04/2021,Arsenal,Everton,0,1,A,2.0,3.5,3.75
24/04/2021,Liverpool,Newcastle,1,1,D,1.22,6.5,12.0
24/04/2021,West Ham,Chelsea,0,1,A,4.75,3.6,1.75
24/04/2021,Sheffield United,Brighton,1,0,H,5.25,3.4,1.75
25/04/2021,Wolves,Burnley,0,4,A,2.0,3.4,3.9
25/04/2021,Leeds,Man United,0,0,D,4.0,4.2,1.75
25/04/2021,Aston Villa,West Brom,2,2,D,1.85,3.6,4.2
26/04/2021,Leicester,Crystal Palace,2,1,H,1.4,4.33,8.5
30/04/2021,Southampton,Leicester,1,1,D,3.8,3.8,1.9
01/05/2021,Crystal Palace,Man City,0,2,A,10.0,5.0,1.33
01/05/2021,Brighton,Leeds,2,0,H,2.05,3.5,3.5
01/05/2021,Chelsea,Fulham,2,0,H,1.44,4.4,7.5
01/05/2021,Everton,Aston Villa,1,2,A,1.95,3.6,3.8
02/05/2021,Newcastle,Arsenal,0,2,A,3.6,3.6,2.0
02/05/2021,Tottenham,Sheffield United,4,0,H,1.25,6.0,12.0
03/05/2021,West Brom,Wolves,1,1,D,2.9,3.2,2.5
03/05/2021,Burnley,West Ham,1,2,A,3.1,3.6,2.2
07/05/2021,Leicester,Newcastle,2,4,A,1.4,4.75,8.0
08/05/2021,Leeds,Tottenham,3,1,H,3.4,3.8,2.0
08/05/2021,Sheffield United,Crystal Palace,0,2,A,3.0,3.2,2.45
08/05/2021,Man City,Chelsea,1,2,A,1.9,3.4,4.2
08/05/2021,Liverpool,Southampton,2,0,H,1.25,6.0,11.0
09/05/2021,Wolves,Brighton,2,1,H,3.3,3.3,2.2
09/05/2021,Aston Villa,Man United,1,3,A,4.2,3.8,1.8
09/05/2021,West Ham,Everton,0,1,A,2.2,3.5,3.2
09/05/2021,Arsenal,West Brom,3,1,H,1.44,4.5,7.0
10/05/2021,Fulham,Burnley,0,2,A,2.2,3.4,3.3
11/05/2021,Man United,Leicester,1,2,A,2.5,3.4,2.8
11/05/2021,Southampton,Crystal Palace,3,1,H,2.05,3.6,3.5
12/05/2021,Chelsea,Arsenal,0,1,A,1.65,4.0,5.0
13/05/2021,Aston Villa,Everton,0,0,D,2.7,3.4,2.6
13/05/2021,Man United,Liverpool,2,4,A,3.0,3.75,2.2
14/05/2021,Newcastle,Man City,3,4,A,11.0,6.0,1.25
15/05/2021,Burnley,Leeds,0,4,A,3.2,3.75,2.1
15/05/2021,Southampton,Fulham,3,1,H,2.0,3.6,3.6
15/05/2021,Brighton,West Ham,1,1,D,2.9,3.6,2.3
16/05/2021,Crystal Palace,Aston Villa,3,2,H,3.0,3.6,2.25
16/05/2021,Tottenham,Wolves,2,0,H,1.5,4.33,6.5
16/05/2021,West Brom,Liverpool,1,2,A,12.0,6.5,1.22
